QT	Question
Susceptibility	We are dumbfounded on how he contracted this disease.
Information	I am inquiring about information in regards to BOOP.
Management	I am interested in a good treatment for the condition.
Information	Are there any specific articles that speak about infants that suffer from the deficiency?
Information	Are there any specific articles that speak about children that suffer from the deficiency?
Information	I am not interested in the form that presents after exposure to the cancer drug 5-fluorouracil.
Information	I am interested in finding out information related to dihydropyrimidine dehydrogenase (DPD) in children.
Prognosis	What is the average life expectancy for sufferers?
Management	What are the treatments?
Manifestation	What are the main symptoms?
Other	When was it first described?
Information	I wish to know: What it is?
Information	Can you help?
Information	I am interested in learning about Tay syndrome.
Information	What information can you provide?
Information	I am interested in learning more about Sheehan syndrome.
Management	I am interested in reading the most up-to-date research on the use of bisphosphonate therapy in treating adult PFD.
Management	Have people been successfully treated?
Management	What are the treatment options for this disease?
Diagnosis	Looking for diagnostic tools available for heavy metal in humans.
Information	Especially combined toxicity (e.g., nickle and mercury).
Manifestation	I am looking for any info about heavy metal toxicity, symptoms.
Management	I am looking for any info about heavy metal toxicity, treatment.
Prognosis	I am looking for any info about heavy metal toxicity, outcomes.
Management	What treatment options are available?
Information	I am looking for any information on Prinzmetal's variant angina.
Information	I am looking for any information on Prinzmetal's variant angina, including clinical studies.
Management	I am looking for any information on treatments for burning mouth syndrome.
Cause	I am looking for any information on causes for burning mouth syndrome.
Information	Can you tell me more about this condition?
Information	I am looking for information about pseudocholinesterase deficiency in layman's terms for myself and others.
Information	I am looking for information about this disease.
Management	I am looking for information about also what types of treatments are available.
Information	I am looking for information about Von-Hippel Lindau syndrome.
Management	I am looking for information about Von-Hippel Lindau syndrome, including how it might be treated.
Susceptibility	How many total cases of this condition have been reported?
Information	I am looking for more general information on granulomatous slack skin syndrome.
Manifestation	I am looking for more information on wrinkly skin syndrome; its symptoms.
OtherEffect	I am looking for more information on wrinkly skin syndrome; its body changes.
Management	I am looking for more information on wrinkly skin syndrome; its treatment.
Prognosis	I am looking for more information on wrinkly skin syndrome; its what to expect.
OtherEffect	I am looking for more information on wrinkly skin syndrome; its effects on different ages.
Information	I am looking for more information on wrinkly skin syndrome; its cases.
Information	I am looking for recent information on ovarian carcinosarcoma.
Management	I am looking for the chemotherapy regime that is most effective for treating this.
Other	I am looking for any help.
Management	I am looking for treatment information for PKAN.
Susceptibility	How do I know if I inherited it from my mom or dad?
Information	I am researcher and I'm looking for more information about Gorham Stout disease.
OtherEffect	I am curious about the reason for the hydrocephalus: is it a blockage issue?
OtherEffect	I am curious about the reason for the hydrocephalus: is it a slow draining issue?
Information	How can I learn more about this risk?
Susceptibility	I am also concerned about the risk to my future offspring.
PersonOrg	Are there any research studies that I could participate in?
Management	Is taking painkillers the right treatment?
Management	What kind of treatment should I undergo?
Information	Can you tell me more about it?
PersonOrg	Can you offer any suggestions as to how we can find out if another person has the same mutation?
Prognosis	We are trying to determine the potential course this disease will take.
Information	We are seeking information on his specific mutation, he is missing 2 nucleotides on exon 44 causing a frameshift onto exon 45 resulting in mild DMD or severe Becker symptoms.
Information	I would love to receive any information about the disease.
Management	I would love to receive any information about treatments being done.
Information	I would love to receive any information about research studies.
PersonOrg	I am trying to find a doctor in my area that knows something about pain management for my disease.
Susceptibility	Is it found in Europe or just the USA?
Susceptibility	I am trying to find information about transmission of hepatitis X.
Information	Can you provide me with the information that I need?
Information	I am trying to find more information about osteomyelitis.
Management	I am trying to find out more information about how to treat my condition.
Prognosis	I guess I am trying to find out if my type of teratoma would portend a better or worse prognosis than other types, especially given how fast mine developed.
Information	Are there any other published cases of teratoma?
Information	Are there any other published cases of astrocytoma?
Management	Any studies that have been done about treatment options would be helpful.
Prognosis	I am trying to find out more information about teratomas with malignant transformation, specifically related to prognosis.
Information	I am trying to find out more information on anaplastic oligoastrocytoma.
Susceptibility	I am trying to find studies discussing the potential of genetic inheritance of desmoplastic small round cell tumor.
Management	How can we find out about current research that is being done to find better treatment alternatives?
PersonOrg	How can we reach out to other people affected by the condition?
Management	Is there recent information about what might help to treat neuropathy?
Information	She is looking for understandable information about the disease.
Management	She is looking for understandable information about possible treatment options.
Information	I am trying to research current information for my friend who has been diagnosed with Triple A syndrome.
Information	Can you provide me with all the information that you have on Townes-Brock syndrome?
Information	Please provide any available information.
Management	What are the treatment options?
Management	Can Tourette syndrome be cured?
Management	Are there any clinical trials studying the use of vitamin B6?
Management	Is there any treatment for people who have severe symptoms?
Prognosis	Do individuals with this condition have a shortened lifespan?
Information	I am writing to ask for some information on hyperprolinemia type 2.
Anatomy	Can this condition affect the legs?
Diagnosis	Is it important, for personal purposes, that I get tested?
Diagnosis	Is it important, for research purposes, that I get tested?
Diagnosis	How can I be tested for this?
Information	Can you provide me with more information on this condition?
Information	Can you provide me with information about this condition?
Diagnosis	Is genetic counseling appropriate for geographic tongue?
Diagnosis	Is genetic counseling appropriate for psoriasis?
Susceptibility	Are the two conditions genetic?
OtherEffect	Is geographic tongue related to psoriasis?
Manifestation	At what age do symptoms of the condition typically start?
Management	Is there treatment for the condition?
Management	So any help in getting me pointed in the right direction would be helpful.
OtherEffect	If this is the case, why does it seem like all of my pregnancies have been affected?
Susceptibility	I've since been deemed cured, but wonder if my children are at an increased risk for developing this cancer.
Management	Are there treatments for this condition?
Information	I'd like to know all about Ehlers-Danlos syndrome progeroid type.
Diagnosis	I am particularly interested in learning more about genetic testing for the syndrome.
Diagnosis	Could you also tell me what type of testing is available for the condition?
Information	I'd like to know as much as possible about Leigh syndrome.
Information	I'd like to learn more about megalocytic interstitial nephritis with malakoplakia.
Information	Is there any information you can give me?
Diagnosis	Is genetic testing for this syndrome available?
Susceptibility	Would perisylvian syndrome in a male child come from the mother or the father, or both?
Susceptibility	If a child is the only one affected with perisylvian syndrome in his family, can the inheritance of the syndrome be determined?
Susceptibility	If a couple has a child with Krabbe leukodystrophy, what is the likelihood of having another child with the condition?
Susceptibility	Is this condition inherited from the mother or father?
Susceptibility	If a couple's first baby is diagnosed with Leigh syndrome, what is the chance that future children will have it as well?
Diagnosis	Should genetic counseling be done prior to attempting a second pregnancy?
Susceptibility	If a first child is affected by Duane syndrome, what is the likelihood that subsequent children will also be affected?
Management	How long should the medication be taken before attempting another pregnancy?
Susceptibility	If anencephaly occurred in a previous pregnancy, what are the chances of this condition affecting the next pregnancy if we take the recommended medication?
Susceptibility	If a person with congenital central hypoventilation syndrome has a child, what are the odds that the child will need a tracheotomy?
Information	If a woman has a XXY karyotype, does this mean that she has Klinefelter syndrome?
NotDisease	Where does it go?
Other	If glucose 6 phosphate dehydrogenase is needed to metabolize carbohydrates and it's missing, then what happens to the sugar in the blood?
Information	Do you have any information I can give him?
Information	Do you have some internet sources that may answer questions for him that are not infant?
Information	Do you have child related?
Susceptibility	If my family clearly meets the criteria for diagnosing this condition, but no one demonstrates the TP53 mutation in genetic testing, is it possible to determine if a given relative never diagnosed with cancer has the predisposition?
Susceptibility	If my father had the mutation and I do not have it, do my own children have a chance of having it or are they and all successive generations in the clear?
Susceptibility	If my father had a TP53 mutation, does that mean all his children have the mutation or each has a 50% chance of having it?
Susceptibility	If one child has Shwachman-Diamond syndrome, will the second child have it as well if the parents are the same?
Prognosis	What is the prognosis for people with a paraneoplastic neurologic disorder?
Manifestation	If the symptoms of paraneoplastic neurologic disorders are caused by cancer, why do the symptoms appear before cancer is diagnosed?
Prognosis	If TSH levels are found to be out of range in a new born baby, does this mean that the baby will have permanent or temporary deficiency?
Susceptibility	Is LMM genetic?
Prognosis	If you are diagnosed with lentigo maligna melanoma (LMM), what are the chances of having another, completely separate LMM at another site?
Information	How can I find out about any research being done on Wallenberg syndrome?
PersonOrg	Is there any research programs which I could volunteer for?
Susceptibility	How many people in the United States get a glomus jugulare tumor - I know that it's really rare.
OtherEffect	I also have had horrible lower back pain for years - could this be due to this rare condition?
Complication	I have been trying to get information as to what problems I may have because of this history.
Susceptibility	I was wondering if that probability was still the same?
Cause	What caused it?
Prognosis	What is the amount of recovery on average with this type of injury?
Prognosis	Will this happen to me again?
Prognosis	What might I expect?
Cause	I am wondering if this could have triggered anything relating to the osteomyelitis or would it be completely cured by now?
Susceptibility	I'd like to know more about the genetics involved with this condition.
Susceptibility	Given our history, does this mean that they are at a higher risk for having these problems?
Prognosis	Can this come back?
PersonOrg	Who do we contact to be tested?
Diagnosis	Is there a definitive test to determine if one is a carrier?
Diagnosis	I was never tested to see if I am a carrier, and now my daughter would like to know if she is a carrier.
Management	What can I do for this condition?
Management	Do you know if any progress has been made anywhere on earth to restore vision?
Management	Do you know if any progress has been made anywhere on earth to restore vision including but not limited to stem cell treatments?
Management	I am looking for any information about new medicines.
Management	I am looking for any other suggestions.
Information	Can you provide some information to help me understand this condition?
Information	This is all new to my family and I would like seek your help in learning more about this condition.
Prognosis	This is all new to my family and I would like seek your help in learning more about this condition, including what to expect.
Management	I am looking for any advice how I can redirect him.
Management	I am looking for any advice how I can get through to him on a positive note.
Susceptibility	What are the chances of having another child with the same condition?
Information	He has a chronic and relapsing course and we are trying to find more information for the family regarding this condition.
Prognosis	He has a chronic and relapsing course and we are trying to find more information for the family regarding this condition, its outcomes.
Complication	He has a chronic and relapsing course and we are trying to find more information for the family regarding this condition, its long-term complications.
Management	How might Coffin-Lowry be treated?
Management	Are there any foods that have been shown to benefit people with Coffin-Lowry syndrome?
Management	Are there any supplements that have been shown to benefit people with Coffin-Lowry syndrome?
PersonOrg	I am also looking for doctors that might be able to help with the hip pain.
Information	I would like general information about this condition.
Management	I would like general information about this condition, including hip replacement surgery.
Management	How is this condition treated?
Information	Where can I learn about research related to this condition?
Management	How might it be treated?
Cause	What causes this condition?
Information	Is there a Web page that summarizes this syndrome and would be helpful to me?
OtherEffect	What is a child with this capable of learning?
Complication	Have you found that children developing this condition in utero are more or less likely to have long term complications?
Management	Can you tell me if there are any new treatments on the horizon for this condition?
Diagnosis	Is there a genetic test that can be done to determine whether I am a carrier?
Information	Can you help me find more information on this disease?
Management	Can you help me find more information on its treatment?
Prognosis	Can you help me find more information on its long-term prognosis?
Prognosis	What is the life expectancy?
Prognosis	What is the prognosis of acromesomelic dysplasia?
PersonOrg	Who can I talk to about this?
Susceptibility	Can I expect to have a healthy baby in the next pregnancy?
Management	I heard about the Garra rufa "skin eating fish" being used in some places to treat certain skin disorders; will using this fish work for this type of skin disorder?
Management	I would like to know if there is a cure for it yet.
Management	I would like to know what sort of treatments are best.
Prognosis	I would like to know if I'm likely to have other such tumors in other parts of my body.
Management	How early can they start treatment if I am diagnosed with it?
PersonOrg	I just needed to know some information about where I can get tested.
Diagnosis	How can I find out whether I am a carrier of Usher syndrome?
OtherEffect	If so, what level of intellectual disability is expected?
OtherEffect	Do they always have intellectual disabilities?
OtherEffect	Are there problems with speech?
OtherEffect	Are there problems with social skills?
OtherEffect	Do children with this condition have any issues related to fine and/or gross motor skills?
Prognosis	What is the life-expectancy for individuals with this condition?
Susceptibility	If so, what is the likelihood he could pass it on to his next child?
Susceptibility	Is this condition dominant?
Susceptibility	Based on this information do you think that his mutation is a result of random mutation or could there be a link between his mothers cleft palate and his condition?
PersonOrg	How can I locate doctors who are familiar with the management of this condition?
Management	How is this condition treated?
Management	Very few other children in the my country have been diagnosed with this disease and I’m desperate to learn more about it such its treatment.
PersonOrg	Very few other children in the my country have been diagnosed with this disease and I’m desperate to learn more about it such its the availability of clinical trials.
Information	What information can you provide?
Diagnosis	Is there a test that can diagnose Crohn's disease during pregnancy?
Susceptibility	She may be pregnant and is wondering what the likelihood is that her baby will have this disease.
Information	I would really like some more information about this condition for his son.
Prognosis	I would really like some more information about the survival rate for his son.
Information	Is there information available about this condition that might be relevant to an adult?
Management	How might this condition be treated?
Complication	Does this mean he is at a particularly increased risk for developing renal cell carcinoma?
Information	I would like to know more about the conditon.
Management	Is radiation therapy recommended for this type of cancer?
PersonOrg	If there is any information you can give on who to talk to about this I would greatly appreciate it.
Information	If there is any information you can give on where to start I would greatly appreciate it.
Cause	Because of my nephew, I want to be involved in some way to help facilitate more research to find out the causes of this syndrome.
Management	Because of my nephew, I want to be involved in some way to help facilitate more research to find out how to prevent it.
Cause	I am interested in finding out what causes this to happen to babies.
Management	I am interested in finding out surgical procedures that could fix some of the damage caused by this.
Information	I am trying to find information about the disease.
PersonOrg	I am trying to connect with other families who have an affected child.
Management	How can it be managed?
Diagnosis	Is genetic testing for this condition available?
Manifestation	Do Williams syndrome and familial Mediterranean fever share any signs?
Manifestation	Do Williams syndrome and familial Mediterranean fever share any symptoms?
Information	Can you provide me with information related to this condition?
PersonOrg	Who is conducting research into this condition.
Management	How is it treated?
Diagnosis	How is it diagnosed?
Manifestation	What is the typical presentation of citrullinemia type II?
Information	I am looking for credible information that will help me understand this syndrome.
Management	I would like to know more if there are possibilities to live with it.
Management	Are there ways to manage the symptoms?
Prognosis	How might this condition affect the activities of daily living?
Susceptibility	Do I have an increased chance of having a child with Down syndrome?
Susceptibility	Do I have an increased chance of having a child with another chromosome disorder?
Management	If we were to get the surgery, when would be the best time to get it done?
Management	What are the pros and cons of laser surgery?
Complication	He has Sturge-Weber and we are wondering what the percentage is that his birthmark will protrude from his face.
Susceptibility	Would it be possible for a child, such as this student, to have this condition?
Information	Can you provide me with new information about this condition?
Management	Can it be treated?
OtherEffect	Is this a common effect of the disease?
Susceptibility	I would like to start a family; however I would first like to learn more about the chances of passing this on to my future children and the likelihood that their condition would be more serious than my own.
Information	Can you provide me with information about this condition that can be shared with her physicians?
OtherEffect	The symptom is having a tall stature, but how tall?
OtherEffect	I am a 19-year-old female and I was wondering how tall I would be because of this condition?
Management	If so, is there any way to fix this?
OtherEffect	Does the nevus affect me in that manner?
OtherEffect	Does Becker's nevus prohibit muscle development?
Management	What is the treatment for this condition?
OtherEffect	Please tell me more about the ocular issues with Behcet's.
Management	Please tell me more about how they might be treated.
Information	I am looking for general information about this condition.
Susceptibility	I am looking for general information about this condition, including the chances of being affected.
Information	What is the most up-to-date article about this disease?
Information	What is the most up-to-date research about this disease?
PersonOrg	Is there a CPVT specialist anywhere in the world?
Management	Are sports under treatment better than without treatment?
Management	Is it curable?
Prognosis	I have some questions about this disease: Is there any case of remission?
Management	Have you heard about mexiletine being used for erythromelalgia?
Diagnosis	At what age do children begin having genetic testing for FAP?
PersonOrg	How do I find a specialist for children with FAP?
Prognosis	Will this condition go away with age?
Management	It is normal to have these symptoms for three weeks when taking medication for the condition?
Management	Will medication help, or are the side effects too concerning?
OtherEffect	Is this condition going to cause all of my hair to fall out or will the hair loss stop at some point?
Management	How is it treated?
Manifestation	What are the symptoms of this condition?
PersonOrg	How I can locate physicians familiar with it's management.
Information	I would like to learn more about this condition.
Information	How can I learn more about this disease?
Information	I have been diagnosed with MERRF and I am looking for information for this condition that I can share with my local doctor.
Management	I have been diagnosed with MERRF and I am looking for treatment options for this condition that I can share with my local doctor.
Information	Can you please provide me with patient-friendly information about this disease?
Management	How is it treated?
Cause	What causes this condition?
Information	I would appreciate any information that you could provide about this disease, as three generations of my family have been identified with it.
Information	I would appreciate any information that you could post about this disease, as three generations of my family have been identified with it.
Susceptibility	Can you help me?
Prognosis	Will it eventually go away?
Management	Can it be treated?
Cause	What causes it?
Manifestation	What are the symptoms of this condition?
Diagnosis	Can you help me find information on PCOS?
Diagnosis	Can you help me find information on late-onset congenital adrenal hyperplasia?
PersonOrg	Is there anyway to find other people with this condition?
Information	Can you help?
Management	Is research being conducted to learn more about possible treatment options?
Management	How can this condition be treated?
Management	Are there any other recommended treatments other than what my doctor has already tried for this condition?
Management	Is there any scientific evidence from controlled trials that show botox is an effective treatment?
Management	Is there any scientific evidence from research studies that show botox is an effective treatment?
Information	Can you provide me with information about this disease?
Management	How can I manage the symptoms?
Prognosis	Will I ever get over this condition?
Cause	Could this condition be the result of working in a hot silk-screen paint shop?
Information	This condition has caused me severe pain and I wish to learn anything that might be useful to share with my doctors.
PersonOrg	It has been very difficult for me to deal with this diagnosis and I'm not sure who to talk to.
Information	It has been very difficult for me to deal with this diagnosis and I'm not sure who to get information from.
PersonOrg	How can I find a doctor who is knowledgeable about Tarlov cysts?
Management	Are there surgical options?
Management	How is it treated?
Management	Is there a cure for this condition?
Information	I would like any information you can give me.
Information	Are there any new studies available for this rare disease?
Management	Are there any new treatments available for this rare disease?
Management	How is this condition treated?
Susceptibility	What are the chances that my children will have Wilson disease?
Other	Does Wilson disease count as a disability because an affected person has it all of their life?
Management	Will I need to be on medication for the rest of my life?
Prognosis	What are the long-term effects of this disease?
OtherEffect	I have been having very bad upper stomach pains and wanted to know if any of the pains are coming from the Crigler Najjar syndrome, type 2 that I have?
Management	What treatments are available for this condition?
Prognosis	I am also interested in learning about prognosis.
Management	I am also interested in learning about treatment.
Information	I am also interested in learning about clinical trials.
Information	Could you please provide me with information on antisynthetase syndrome?
Information	Can you provide me with information about this condition?
Management	Can you provide me with information about this condition, including treatment options?
Prognosis	Can you provide me with information about this condition, including mortality rates?
Information	Can you provide me with information about this condition?
OtherEffect	Is it normal that I still have fatigue after 5 plus years?
OtherEffect	Can this develop into something else?
Susceptibility	Is my thinking correct on this matter?
Susceptibility	My question is that because this is a genetic condition, what are the chances that my children have inherited it?
Susceptibility	My question is that because this is a genetic condition, what are the chances that my grandchildren have inherited it?
Susceptibility	My question is that because this is a genetic condition, will they also inherit the mild form?
Diagnosis	Is there prenatal testing available for cherubism.
Susceptibility	If I find that I am not a carrier can they still turn up with the disease?
Diagnosis	Can I be tested to see if I am a carrier?
Susceptibility	Do my future children run a strong risk?
Manifestation	What are the signs of cherubism?
Manifestation	What are the symptoms of cherubism?
Cause	How did I get it?
Cause	Why did I get it?
Cause	My main concern and reason for contact is: I'd like to know more about the cause of cherubism.
Information	Are there any studies that are being done that I might be able to take part in?
Information	Are there any trials that are being done that I might be able to take part in?
Management	Do you have information about treatments?
Management	Do you have information about possible future treatments?
Management	I want to know if there is any treatment because I am really looking to get treatment for this disease.
Manifestation	Is nausea symptoms of the disease?
Manifestation	Is vomiting symptoms of the disease?
Information	I would like to learn more about this disease.
Management	I would like to learn more about this disease, including how it is treated.
Cause	Have there been reports of granuloma annular following ingestion of allopurinol?
OtherEffect	Will this condition cause my tissue to die?
Susceptibility	What the probability of passing this condition on to any future offspring?
Susceptibility	Can this condition be passed along to another individual through sexual intercourse?
Management	How can I prevent reinfection?
PersonOrg	In addition, I would like to contact other people with epidermolysis bullosa acquisita.
Susceptibility	Is this condition genetic?
Prognosis	Will it ever go away?
Management	Can diet affect this condition?
Management	Will I ever be able to take less medication?
Management	How might this condition be treated?
Management	How might intractable hiccups be treated?
OtherEffect	Can intractable hiccups be related to other stomach problems?
Diagnosis	What tests may be conducted to determine the underlying cause of intractable hiccups?
Cause	What causes intractable hiccups?
OtherEffect	I have factor V Leiden and was wondering if it's safe to use oral contraceptives.
Information	Are these all the same type of polyps?
Susceptibility	Can myositis ossificans be passed to the next generation?
Management	What are the risks of operation?
Cause	What would cause this disease to occur in so many arteries?
Diagnosis	Is there genetic testing for the condition?
Susceptibility	Is fibromyalgia genetic?
OtherEffect	Can my liver problems be attributed to glycogen storage disease type 5?
Information	I've been wanting to know more about heterochromia iridis: what is it?
Susceptibility	I've been wanting to know more about heterochromia iridis: how rare is it?
Information	Do you know where I could find studies on TGA?
Susceptibility	I am trying to find out if there is any information about other families in which this has happened more than once.
Information	I would like to learn more about it.
Information	I have had a very hard time finding information on CANOMAD.
Management	How can I learn more about medications that have been effective in treating people Camurati Englemann disease?
Management	How can I learn more about surgical procedures that have been effective in treating people Camurati Englemann disease?
Management	How can I learn more about other treatments that have been effective in treating people Camurati Englemann disease?
Prognosis	Will the skull bones grow back together following surgery?
Complication	Would my diagnosis of nail patella syndrome increase my risk for a miscarriage?
PersonOrg	How can I find a specialist in my area?
PersonOrg	How can I be seen by researchers at the National Institutes of Health?
Management	How is this condition treated?
Diagnosis	Can if be identified through MRI?
Diagnosis	Can if be identified through X-ray?
Diagnosis	How is osteomyelitis diagnosed?
Management	Are there any new therapies that might halt these growths?
Susceptibility	I have had seven episodes of Mollaret meningitis and I am curious about how rare this condition is.
Complication	Am I at risk to develop leukemia as a result of sideroblastic anemia?
Management	Are there any new treatments for this disease?
Information	I would like to learn about the disease.
Prognosis	I would like to learn about the disease, including the prognosis of the condition.
PersonOrg	I would like to learn about the disease, including the available support.
Management	I'm looking for more information about treatment.
Information	I'm looking for more information about research.
PersonOrg	I'm looking for more information about how to find a dermatologist in my area who has experience with this condition.
Management	I am not receiving much help as of yet and wonder what future treatment there is for me.
Management	What are my options for future pregnancies?
Management	Is this disease curable?
OtherEffect	I was told there is a link between Potter syndrome and Turner syndrome; is this true?
Management	What treatment is available?
Cause	What causes the condition?
Susceptibility	Is my mildly-affected son at risk to have a child with severe symptoms similar to those seen in his brother?
Diagnosis	If so, which tests are appropriate?
Diagnosis	Is this recommended?
PersonOrg	I would like to find someone that would like to help me follow up on this and to find out if this could be present in my daughter.
Other	I would like grandchildren.
Susceptibility	Is there a chance my other unaffected kids can give this disorder to their kids?
Management	Is that correct?
OtherEffect	How rare is this condition in African Americans?
OtherEffect	Does this condition affect the development of a fetus?
OtherEffect	Could my condition worsen during pregnancy?
OtherEffect	Could my condition worsen during childbirth?
Management	Is there treatment for hypophosphatasia that will also increase my bone density without causing additional kidney problems?
Information	Any information you could provide about this condition would be appreciated.
Management	What is the standard treatment?
Information	Can you tell me more about this condition?
Prognosis	I want to know if it will affect me again?
Prognosis	Is it safe for me to exercise daily?
Susceptibility	If I have children, will they be affected?
Management	Will I need to take medication for the rest of my life?
Management	Does the medication that I take help to cure the condition or just treat the symptoms?
Management	I am on a long-term regimen of antibiotics and wondered if there were other options for management of this condition.
Information	I am on a long-term regimen of antibiotics and wondered if there were resources where I can obtain support for a healthy lifestyle.
Cause	Has any research been done to check whether there is any viral involvement?
Management	I want to know if there is any other medication for this disease.
Cause	What causes the lesions?
Management	Is there treatment for the pain?
Management	What is the direct treatment for this condition?
Diagnosis	Since there are no other cases of corneal dystrophy in my family, yet this is a genetic disease, I'm interested in finding out more about genetic testing.
Information	Have there been any recent articles published in medical journals about this disease?
Information	Is any current research going on that relates to lattice corneal dystrophy.
OtherEffect	Can symptoms of this disease be reduced with any treatment?
OtherEffect	Will it paralyze me?
Manifestation	Will I lose function?
Prognosis	What are my future prospects with this disease?
Diagnosis	Is genetic testing for celiac disease available?
OtherEffect	Is attention deficit disorder and/or celiac diseases related to long QT syndrome?
Diagnosis	How can I learn more about genetic testing for this syndrome?
Susceptibility	How can this be?
Management	How might this condition be treated?
OtherEffect	Does it cause scarring?
Management	I would like to know more about its treatment, cause.
Information	I would like to know more about its if it can become cancerous.
Diagnosis	I am concerned about the high incidence of cancer in PJS patients and would like to know if definitive testing is available.
Manifestation	Is this common?
Manifestation	Is this typical?
PersonOrg	I would also be interested in finding people doing research on this condition.
Management	What is the current treatment?
Management	Is there anything that we can do to stop this from happening?
Information	Where can I go for the most current research articles on MTHFR?
Information	Where can I go for the most reliable research articles on MTHFR?
Information	Can you tell me more about this in lay language?
Management	What can I do to solve this problem?
Management	Do you have information related to the use of this medication for MS?
Complication	Can you tell me if the risk for pre-eclampsia in pregnancy is increased significantly for a woman over the age of 35?
OtherEffect	Do you think the itching has anything to do with NF1?
OtherEffect	Are these conditions related?
Susceptibility	Is it inherited?
Cause	What causes this condition?
Susceptibility	How rare is it?
Information	I have osteopoikilosis and would like more information on this condition.
Diagnosis	Is it possible that I am in this group?
Information	Is X-linked congenital stationary night blindness (XLCSNB) a form of RP or a completely different disease?
Susceptibility	Are there any numbers to report on just how many people in the U.S. have Poland syndrome?
Susceptibility	Can this condition be passed on to my children?
Information	I have prolidase deficiency and would like to receive as much information as possible.
PersonOrg	I have prolidase deficiency and would like contact other sufferers.
Susceptibility	Is this true?
Management	Is sunitinib now prescribed as treatment in North America?
Management	Is this true in North America?
Information	Can you recommend a source of information I can review, please?
Information	I want to find out more about it.
Prognosis	I would like to learn more about the disease course.
Management	I would like to learn more about treatment options.
OtherEffect	What I would most like to know is: does this mutation have any bearing or is it something I do not need to concern myself with?
Information	I have recently been diagnosed with vacuolar myopathy and wish to know more about what it is.
Prognosis	I have recently been diagnosed with vacuolar myopathy and wish to know more about how it can effect health.
Management	Is treatment necessary?
OtherEffect	Could this be connected to the septo-optic dysplasia?
Information	Can you send me a link concerning hereditary fructose intolerance?
Management	Can you send me a diet outline concerning hereditary fructose intolerance?
Information	Can you send me a any information concerning hereditary fructose intolerance?
Susceptibility	Is there anything I can do to avoid the continuity of the syndrome?
Management	Is there any treatment for this?
Information	Could you point me in the direction of information regarding this condition?
PersonOrg	Could you point me in the direction of experts regarding this condition?
Diagnosis	How are they diagnosed?
Information	What are the different types of syringomyelia?
Information	I would appreciate any information you could give me relating to hypohidrotic ectodermal dysplasia with hypothyroidism.
OtherEffect	With this condition is hypothyroidism seen very often?
Prognosis	Is this calcium problem stopping me from losing weight?
Information	What does that mean?
Information	Are there different types?
Prognosis	How much exercise is too much?
Management	I am wondering if there is anything else I can take besides meloxicam.
OtherEffect	I was wondering if women with Turner syndrome are able to have a normal sexual life or if it is harder for them to get sexually aroused because of hormone differences.
OtherEffect	Does this mean that my hormones are at a normal level right now?
Management	Would physiotherapy help stabilize their joints?
Diagnosis	Can you provide me with information about this syndrome, including how the diagnosis can be confirmed?
Susceptibility	Am I correct in my understanding that an autosomal dominant trait must be present in order to be passed on to offspring?
Cause	Can pregnancy trigger such an issue?
Other	If it was inherited from the parents why are they negative in all lab tests?
Susceptibility	How did the child develop the disease?
Information	I would really like more information on this.
Manifestation	Are these symptoms serious?
Cause	Is it due to consanguinity?
Cause	What causes these mutations?
Susceptibility	Is it true that it will affect a baby boy?
Management	More importantly is there a way to treat the disease should it be diagnosed during pregnancy?
Diagnosis	If true how soon in the pregnancy can this diagnosis be made?
Management	What can I do to manage my condition?
Prognosis	What happens with this condition.
Information	I would like information on what exactly this is?
OtherEffect	Will I go through menopause?
Management	Will I have to have hormonal therapy?
Information	I would like more information on this condition.
PersonOrg	Are there treatment centers that specialize in treating individuals with Kearns-Sayre syndrome?
Information	Could you provide me with information about this condition?
Susceptibility	I know my condition is not contagious via personal contact, but if had the condition while pregnant could my daughter have it also?
Prognosis	Is there any information about the long-term consequences of this condition in surviving adults?
PersonOrg	I live in Serbia, and I'm looking all around the world to find somebody who may give me hope and help me with my problem.
Complication	Are my surviving children at risk for any problems as a result?
Susceptibility	They would like to learn more about risks to their future offspring.
OtherEffect	Are these conditions related?
OtherEffect	Are my migraines a result of periventricular leukomalacia?
OtherEffect	Are my migraines a symptom of periventricular leukomalacia?
OtherEffect	Can Kleine Levin syndrome and myotonic dystrophy type 2 have anything to do with each other?
Prognosis	Is there anyone else that has been sick with Kleine Levin syndrome for so long?
Susceptibility	Will my sons or daughters be more affected?
Susceptibility	My question is: I am pregnant and I want to know my chances of having children with ocular albinism?
Other	Is there any advice that can be given?
Diagnosis	Is there a test that can be performed to provide me with a definitive diagnosis, even if I don't currently have symptoms?
Management	I would also like to learn more about its treatment.
Susceptibility	I want to know how rare it is.
Information	Any current information regarding this disease would be helpful.
Diagnosis	I'm doing a research paper on aniridia and am wondering if there is a prenatal diagnosis for this disease.
Management	I'm doing a research paper on aniridia and am wondering if that are any new advances in treatment.
Susceptibility	Is it possible that she could have children without this disorder?
Diagnosis	Would it be necessary for her to have genetic testing to see if she is a carrier?
Information	I seem to have the symptoms and was wanting to know more.
Information	I'm hoping to obtain information about intravenous leiomyomatosis.
Susceptibility	I have Crouzon syndrome and I was wondering if my child is guaranteed to have it.
Susceptibility	Is there anyone living with this disease anywhere in the world?
Information	I'm looking to find information on fumaric aciduria.
Susceptibility	Does this genetically pre-dispose me to a carcinoid tumor?
Complication	Does this otherwise pre-dispose me to a carcinoid tumor?
